epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9172,1.16997,4.92805,1.26438,0,0,0,0,1.0544,5.0653,1.14146,9.31e-06,9.31e-06,9.31e-06
2,169.976,1.16717,4.89518,1.24245,0,0,0,0,1.04002,5.05494,1.13408,1.9555e-05,1.9555e-05,1.9555e-05
3,255.089,1.16362,4.85212,1.2627,0,0,0,0,1.03603,5.04839,1.13101,2.93786e-05,2.93786e-05,2.93786e-05
4,340.992,1.19007,4.86094,1.24991,0,0,0,0,1.03225,5.03584,1.12588,3.87809e-05,3.87809e-05,3.87809e-05
5,427.411,1.16194,4.74297,1.24624,0,0,0,0,1.02552,5.01151,1.12061,4.77619e-05,4.77619e-05,4.77619e-05
6,517.481,1.14384,4.71951,1.22273,0,0,0,0,1.03,4.96592,1.11341,5.63215e-05,5.63215e-05,5.63215e-05
7,620.772,1.23858,4.61862,1.25293,0.0116,0.0008,0.0062,0.00557,1.03487,4.91284,1.10949,6.44598e-05,6.44598e-05,6.44598e-05
8,721.671,1.09018,4.51173,1.20807,0.02723,0.01107,0.01818,0.01337,1.05731,4.82882,1.11365,7.21767e-05,7.21767e-05,7.21767e-05
9,821.53,1.16719,4.35924,1.23329,0.02653,0.03401,0.02808,0.01934,1.06695,4.70849,1.11445,7.94723e-05,7.94723e-05,7.94723e-05
10,915.964,1.1204,4.3212,1.23262,0.02165,0.04527,0.0307,0.02182,1.06783,4.60362,1.11411,8.63465e-05,8.63465e-05,8.63465e-05
11,1017.12,1.13927,4.19875,1.22047,0.02909,0.08673,0.04479,0.03038,1.06055,4.41508,1.11567,9.27994e-05,9.27994e-05,9.27994e-05
12,1111.23,1.09263,4.10543,1.19225,0.03297,0.09988,0.05765,0.04383,1.04452,4.27317,1.11047,9.8831e-05,9.8831e-05,9.8831e-05
13,1203.91,1.1675,4.00958,1.25781,0.03464,0.13755,0.07019,0.05511,1.03235,4.11923,1.10346,0.000101399,0.000101399,0.000101399
14,1299.86,1.15341,4.04646,1.22094,0.81511,0.04765,0.07801,0.06077,1.03193,3.97833,1.10089,9.87658e-05,9.87658e-05,9.87658e-05
15,1411.59,1.15688,3.84611,1.2219,0.03466,0.23181,0.09879,0.07708,1.03049,3.86097,1.09955,9.61324e-05,9.61324e-05,9.61324e-05
16,1510.48,1.15523,3.8353,1.24311,0.80668,0.06491,0.11005,0.08577,1.03507,3.74363,1.10491,9.3499e-05,9.3499e-05,9.3499e-05
17,1611.14,1.05492,3.7744,1.2077,0.73127,0.07516,0.12221,0.09572,1.03677,3.63095,1.11061,9.08656e-05,9.08656e-05,9.08656e-05
18,1705.6,1.13217,3.65511,1.22996,0.76564,0.07893,0.13457,0.1056,1.03872,3.52296,1.11626,8.82322e-05,8.82322e-05,8.82322e-05
19,1801.37,1.10488,3.51353,1.22264,0.74548,0.08226,0.14211,0.11211,1.04141,3.43309,1.12028,8.55988e-05,8.55988e-05,8.55988e-05
20,1897.09,1.11815,3.56166,1.21171,0.59554,0.11259,0.15022,0.11777,1.03663,3.33388,1.12043,8.29654e-05,8.29654e-05,8.29654e-05
21,2008.29,1.167,3.48021,1.2362,0.62526,0.11528,0.15828,0.12351,1.03976,3.24439,1.12603,8.0332e-05,8.0332e-05,8.0332e-05
22,2116.04,1.11544,3.46791,1.24156,0.76382,0.12017,0.17615,0.13839,1.03996,3.15533,1.12515,7.76986e-05,7.76986e-05,7.76986e-05
23,2217.19,1.14455,3.39696,1.21809,0.83718,0.12153,0.18653,0.14555,1.03781,3.10951,1.12407,7.50652e-05,7.50652e-05,7.50652e-05
24,2325.57,1.08226,3.3815,1.20042,0.51955,0.16905,0.19226,0.14833,1.03766,3.0787,1.12352,7.24318e-05,7.24318e-05,7.24318e-05
25,2444.52,1.13176,3.29471,1.21273,0.52319,0.17942,0.20314,0.15878,1.03711,3.05573,1.12279,6.97984e-05,6.97984e-05,6.97984e-05
26,2542.85,1.11878,3.18718,1.19201,0.52219,0.19579,0.21747,0.17038,1.03458,3.00351,1.12148,6.7165e-05,6.7165e-05,6.7165e-05
27,2636.13,1.10817,3.07422,1.21715,0.54059,0.20529,0.2315,0.18062,1.02905,2.96616,1.11978,6.45316e-05,6.45316e-05,6.45316e-05
28,2729.98,1.15163,3.12807,1.23608,0.51648,0.21307,0.24221,0.18901,1.02623,2.91025,1.1165,6.18982e-05,6.18982e-05,6.18982e-05
29,2823.11,1.10874,3.09072,1.23799,0.51334,0.22455,0.25314,0.19741,1.02675,2.84426,1.11463,5.92648e-05,5.92648e-05,5.92648e-05
30,2923.31,1.14867,3.09072,1.24393,0.55237,0.22978,0.26372,0.20452,1.02124,2.78319,1.11278,5.66314e-05,5.66314e-05,5.66314e-05
31,3016.89,1.10154,2.96453,1.21281,0.62713,0.22773,0.27537,0.21371,1.01983,2.74018,1.11054,5.3998e-05,5.3998e-05,5.3998e-05
32,4028.52,1.07156,2.98093,1.18194,0.66558,0.21888,0.28167,0.21903,1.01295,2.69484,1.10664,5.13646e-05,5.13646e-05,5.13646e-05
33,4176.2,1.06072,2.82317,1.16653,0.67573,0.23497,0.28731,0.22343,1.00757,2.65015,1.10406,4.87312e-05,4.87312e-05,4.87312e-05
34,4254.56,1.10489,2.92316,1.23507,0.68051,0.23127,0.29214,0.22715,1.00522,2.61944,1.10084,4.60978e-05,4.60978e-05,4.60978e-05
35,4345.97,1.07336,2.96599,1.20204,0.64711,0.24963,0.29648,0.23023,1.00433,2.60504,1.10119,4.34644e-05,4.34644e-05,4.34644e-05
36,5115.06,1.0689,2.85041,1.22632,0.67622,0.25678,0.31013,0.24086,1.00334,2.58292,1.10212,4.0831e-05,4.0831e-05,4.0831e-05
37,5192.88,1.08499,2.84076,1.22706,0.68073,0.26022,0.31634,0.24604,1.00163,2.57017,1.10249,3.81976e-05,3.81976e-05,3.81976e-05
38,6171.49,1.04013,2.91111,1.17891,0.69663,0.26172,0.32076,0.24861,1.00249,2.55825,1.10281,3.55642e-05,3.55642e-05,3.55642e-05
39,10018.2,1.0674,2.89508,1.22482,0.71619,0.2602,0.32619,0.25465,0.99874,2.53578,1.10171,3.29308e-05,3.29308e-05,3.29308e-05
40,10100.1,1.14779,2.75598,1.2072,0.72047,0.26776,0.33387,0.26257,0.99223,2.51965,1.10041,3.02974e-05,3.02974e-05,3.02974e-05
41,10177.2,1.09693,2.75321,1.21292,0.67997,0.28276,0.34162,0.26841,0.98615,2.48014,1.09916,2.7664e-05,2.7664e-05,2.7664e-05
42,13555.2,1.11105,2.66348,1.22743,0.69826,0.28676,0.34758,0.27213,0.98032,2.45375,1.097,2.50306e-05,2.50306e-05,2.50306e-05
43,13638.5,1.07158,2.56848,1.17663,0.69899,0.28518,0.3525,0.27785,0.97885,2.43019,1.09648,2.23972e-05,2.23972e-05,2.23972e-05
44,13723.4,1.0931,2.62492,1.19815,0.72682,0.28504,0.35728,0.28226,0.97678,2.41818,1.09544,1.97638e-05,1.97638e-05,1.97638e-05
45,13806.9,1.08587,2.62392,1.19565,0.7382,0.2819,0.35569,0.2816,0.97447,2.41075,1.09417,1.71304e-05,1.71304e-05,1.71304e-05
46,13886.5,1.058,2.5539,1.1691,0.75695,0.2752,0.36038,0.28606,0.97227,2.39991,1.09304,1.4497e-05,1.4497e-05,1.4497e-05
47,13971.7,1.08851,2.60206,1.19258,0.66164,0.31031,0.36201,0.28817,0.97116,2.40175,1.09279,1.18636e-05,1.18636e-05,1.18636e-05
48,14056.4,1.05545,2.49837,1.16938,0.66046,0.31597,0.36368,0.2891,0.96877,2.39631,1.0921,9.2302e-06,9.2302e-06,9.2302e-06
49,14145.8,1.05702,2.49056,1.18614,0.65918,0.32204,0.36563,0.29031,0.96694,2.38875,1.09107,6.5968e-06,6.5968e-06,6.5968e-06
50,14231,1.02382,2.55346,1.17847,0.65903,0.32718,0.3665,0.29155,0.96699,2.3844,1.09122,3.9634e-06,3.9634e-06,3.9634e-06
